C000001_es_000	Ocupaciones militares
C002469_es_005	técnica en electricidad
C002469_es_006	técnico en electricidad
C002470_es_000	operario de máquina expendedora/operaria de máquina expendedora
C002470_es_001	operaria de máquina expendedora
C002470_es_002	operario de máquina expendedora
C002471_es_000	empleado administrativo de archivos/empleada administrativa de archivos
C002471_es_001	empleada administrativa de archivos
C002471_es_002	empleado administrativo de archivos
C002472_es_000	cocinero nutricionista/cocinera nutricionista
C002472_es_001	cocinera nutricionista
C002472_es_002	cocinero nutricionista
C002473_es_000	técnico de iluminación/técnica de iluminación
C002473_es_001	técnica de iluminación
C002473_es_002	técnico de iluminación
C002474_es_000	operario de purificación de grasas/operaria de purificación de grasas
C002474_es_001	encargada de la purificación de grasas
C002474_es_002	encargado de la purificación de grasas
C002474_es_003	operador de purificación de grasas
C002474_es_004	operadora de purificación de grasas
C002474_es_005	responsable de la purificación de grasas
C002475_es_000	operario de procesamiento de productos lácteos/operaria de procesamiento de productos lácteos
C002475_es_001	encargada del procesamiento de productos lácteos
C002475_es_002	encargado del procesamiento de productos lácteos
C002475_es_003	operador de procesamiento de productos lácteos
C002475_es_004	operadora de procesamiento de productos lácteos
C002475_es_005	responsable del procesamiento de productos lácteos
C002476_es_000	modelo de moda
C002476_es_001	maniquí
C002476_es_002	modelo de pasarela
C002477_es_000	especialista en sistemas de información geográfica
C002478_es_000	informador turístico/informadora turística
C002478_es_001	agente de información en oficinas de turismo
C002478_es_002	agente de información turística
C002478_es_003	responsable de la información turística
C002479_es_000	responsable de compras de decoración, utilería y atrezo escénicos
C002479_es_001	gestor de sastrería del espectáculo en vivo
C002479_es_002	gestora de sastrería del espectáculo en vivo
C002479_es_003	regidor de vestuario
C002479_es_004	regidora de vestuario
C002479_es_005	responsable de compras de sastrería escénica
C002479_es_006	sastra de vestuario
C002479_es_007	sastre de vestuario
C002480_es_000	inspector de educación/inspectora de educación
C002480_es_001	inspector de educación
C002480_es_002	inspectora de educación
C002481_es_000	médico especialista/médica especialista
C002481_es_001	médica especialista
C002481_es_002	médico especialista
C002482_es_000	vendedor/vendedora
C002482_es_001	asistente de venta
C002482_es_002	vendedor
C002482_es_003	vendedora
C002483_es_000	gerente de tienda de tejidos
C002483_es_001	responsable de tienda de tejidos
C002484_es_000	capitán del Ejército/capitana del Ejército
C002484_es_001	capitana de batallón
C002484_es_002	capitana de corbeta
C002484_es_003	capitana de fragata
C002484_es_004	capitana de infantería de marina
C002484_es_005	capitana del Ejército
C002484_es_006	capitán de batallón
C002484_es_007	capitán de corbeta
C002484_es_008	capitán de fragata
C002484_es_009	capitán de infantería de marina
C002484_es_010	capitán del Ejército
C002484_es_011	oficial de las Fuerzas Armadas
C002484_es_012	oficial del Ejército
C002485_es_000	bombero de brigada acuática/bombera de brigada acuática
C002485_es_001	bombera de brigada acuática
C002485_es_002	bombera marina
C002485_es_003	bombero de brigada acuática
C002485_es_004	bombero marino
C002486_es_000	cuidador de personas con discapacidad/cuidadora de personas con discapacidad
C002486_es_001	asistente para personas con discapacidad
C002486_es_002	cuidador de personas con discapacidad
C002486_es_003	cuidadora de personas con discapacidad
C002487_es_000	fabricante de cepillos
C002487_es_001	fabricante de brochas
C002487_es_002	fabricante de escobas
C002488_es_000	técnico de servicio de respuesta a señales de sistemas de alarma/técnica de servicio de respuesta a señales de sistemas de alarma
C002488_es_001	técnica de servicio de respuesta a señales de sistemas de alarma
C002488_es_002	técnico de servicio de respuesta a señales de sistemas de alarma
C002489_es_000	gestor de la atención al cliente/gestora de la atención al cliente
C002489_es_001	administrador de la atención al cliente
C002489_es_002	administradora de la atención al cliente
C002489_es_003	encargada de la gestión de la atención al cliente
C002489_es_004	encargado de la gestión de la atención al cliente
C002489_es_005	gerente del departamento de atención al cliente
C002489_es_006	responsable de la gestión de la atención al cliente
C002490_es_000	consejero matrimonial/consejera matrimonial
C002490_es_001	consejera matrimonial
C002490_es_002	consejero matrimonial
C002491_es_000	ingeniero técnico de minas/ingeniera técnica de minas
C002491_es_001	especialista en geomática y topografía
C002491_es_002	especialista en topografía y cartografía minera
C002491_es_003	ingeniera técnica de minas
C002491_es_004	ingeniero técnico de minas
C002491_es_005	topógrafa
C002491_es_006	topógrafo
C002492_es_000	revisor jefe/revisora jefe
C002492_es_001	interventor jefe
C002492_es_002	interventora jefe
C002492_es_003	revisor jefe
C002492_es_004	revisora jefe
C002493_es_000	supervisor de centro de atención al cliente/supervisora de centro de atención al cliente
C002493_es_001	jefa de centro de atención al cliente
C002493_es_002	jefe de centro de atención al cliente
C002493_es_003	supervisor de centro de atención al cliente
C002493_es_004	supervisor de centro de contacto para el cliente
C002493_es_005	supervisor de servicio de atención al cliente
C002493_es_006	supervisora de centro de atención al cliente
C002493_es_007	supervisora de centro de contacto para el cliente
C002493_es_008	supervisora de servicio de atención al cliente
C002494_es_000	gestor de investigación de TIC/gestora de investigación de TIC
C002494_es_001	gestor de investigación de TI
C002494_es_002	gestor de investigación de TIC
C002494_es_003	gestor de investigación de TICs
C002494_es_004	gestor de investigación informática
C002494_es_005	gestora de investigación de TI
C002494_es_006	gestora de investigación de TIC
C002494_es_007	gestora de investigación de TICs
C002494_es_008	gestora de investigación informática
C002495_es_000	ingeniero técnico naval/ingeniera técnica naval
C002495_es_001	asistente de oficial de máquinas de la marina mercante
C002495_es_002	asistente técnica del jefe de máquinas
C002495_es_003	asistente técnico del jefe de máquinas
C002495_es_004	ingeniera técnica marina
C002495_es_005	ingeniera técnica naval
C002495_es_006	ingeniero técnico marino
C002495_es_007	ingeniero técnico naval
C002495_es_008	técnica en supervisión y control de máquinas e instalaciones del buque
C002495_es_009	técnico en supervisión y control de máquinas e instalaciones del buque
C002496_es_000	director de sistemas de saneamiento /directora de sistemas de saneamiento
C002496_es_001	director de redes de alcantarillado
C002496_es_002	director de redes de canalizaciones de saneamiento
C002496_es_003	director de sistemas de saneamiento
C002496_es_004	directora de redes de alcantarillado
C002496_es_005	directora de redes de canalizaciones de saneamiento
C002496_es_006	directora de sistemas de saneamiento
C002497_es_000	supervisor de demolición/supervisora de demolición
C002497_es_001	demoledor de edificios
C002497_es_002	demoledora de edificios
C002497_es_003	encargada de operaciones de demolición
C002497_es_004	encargado de operaciones de demolición
C002497_es_005	supervisor de demolición
C002497_es_006	supervisor de demolición y gestión de residuos de construcción
C002497_es_007	supervisor de obras de demolición
C002497_es_008	supervisora de demolición
C002497_es_009	supervisora de demolición y gestión de residuos de construcción
C002497_es_010	supervisora de obras de demolición
C002498_es_000	profesor de formación profesional en diseño y artes aplicadas/profesora de formación profesional en diseño y artes aplicadas
C002498_es_001	profesor de formación profesional en diseño y artes aplicadas
C002498_es_002	profesora de formación profesional en diseño y artes aplicadas
C002499_es_000	coordinador de desarrollo económico/coordinadora de desarrollo económico
C002499_es_001	coordinador de desarrollo económico
C002499_es_002	coordinadora de desarrollo económico
C002500_es_000	asesor especializado en asuntos públicos/asesora especializada en asuntos públicos
C002500_es_001	asesor especializado en asuntos públicos
C002500_es_002	asesora especializada en asuntos públicos
C002501_es_000	administrador de sistemas de TIC/administradora de sistemas de TIC
C002501_es_001	administrador de TIC
C002501_es_002	administrador de sistemas de TI
C002501_es_003	administrador de sistemas de TIC
C002501_es_004	administrador de sistemas de TICs
C002501_es_005	administrador de sistemas informáticos
C002501_es_006	administradora de TIC
C002501_es_007	administradora de sistemas de TI
C002501_es_008	administradora de sistemas de TIC
C002501_es_009	administradora de sistemas de TICs
C002501_es_010	administradora de sistemas informáticos
C002502_es_000	gobernador del Banco Central/gobernadora del Banco Central
C002502_es_001	gobernador del Banco Central
C002502_es_002	gobernadora del Banco Central
C002503_es_000	ingeniero aerodinámico/ingeniera aerodinámica
C002503_es_001	ingeniera aerodinámica
C002503_es_002	ingeniero aerodinámico
C002504_es_000	formador en TIC/formadora en TIC
C002504_es_001	entrenador en TIC
C002504_es_002	entrenadora en TIC
C002504_es_003	formador en TIC
C002504_es_004	formador en TICs
C002504_es_005	formador en informática
C002504_es_006	formadora en TIC
C002504_es_007	formadora en TICs
C002504_es_008	formadora en informática
C002504_es_009	instructor en TIC
C002504_es_010	instructora en TIC
C002505_es_000	gerente de tienda
C002505_es_001	encargada de tienda
C002505_es_002	encargado de tienda
C002505_es_003	responsable de tienda
C002506_es_000	desarrollador de videojuegos/desarrolladora de videojuegos
C002506_es_001	desarrolador de juegos virtuales
C002506_es_002	desarrollador de juegos
C002506_es_003	desarrollador de juegos de ordenador
C002506_es_004	desarrollador de juegos digitales
C002506_es_005	desarrollador de videojuegos
C002506_es_006	desarrolladora de juegos
C002506_es_007	desarrolladora de juegos de ordenador
C002506_es_008	desarrolladora de juegos digitales
C002506_es_009	desarrolladora de juegos virtuales
C002506_es_010	desarrolladora de videojuegos
C002506_es_011	programador de juegos
C002506_es_012	programadora de juegos
C002507_es_000	artesano del papel/artesana del papel
