C000001_de_000	Angehörige der regulären Streitkräfte
C002465_de_001	DozentIn für vergleichende Literaturwissenschaft
C002465_de_002	Lehrbeauftragte/r für Literaturwissenschaft
C002465_de_003	Ordinaria für allgemeine Literaturwissenschaft
C002465_de_004	Ordinarius für allgemeine Literaturwissenschaft
C002465_de_005	Professor/in für angewandte Literaturwissenschaft
C002465_de_006	Universitätslehrer für Literaturwissenschaft
C002465_de_007	Universitätslehrerin für Literaturwissenschaft
C002466_de_000	Qualitätsprüfer Fahrzeugbau/Qualitätsprüferin Fahrzeugbau
C002466_de_001	Qualitätsprüfer Fahrzeugbau
C002466_de_002	Qualitätsprüferin Fahrzeugbau
C002467_de_000	Reiseberater im Bahnverkehr/Reiseberaterin im Bahnverkehr
C002467_de_001	Fahrkartenausgeber
C002467_de_002	Fahrkartenausgeberin
C002467_de_003	Fahrkartenverkäufer
C002467_de_004	Fahrkartenverkäuferin
C002467_de_005	Reiseberater im Bahnverkehr
C002467_de_006	Reiseberaterin im Bahnverkehr
C002467_de_007	Schalterangestellte
C002467_de_008	Schalterangestellter
C002468_de_000	Sozialarbeiter im Bereich Straffälligenhilfe/Sozialarbeiterin im Bereich Straffälligenhilfe
C002468_de_001	Sozialarbeiter im Bereich Straffälligenhilfe
C002468_de_002	Sozialarbeiterin im Bereich Straffälligenhilfe
C002469_de_000	Elektrotechniker/Elektrotechnikerin
C002469_de_001	Elektrotechniker
C002469_de_002	Elektrotechnikerin
C002469_de_003	Techniker Elektrotechnik
C002469_de_004	Technikerin Elektrotechnik
C002470_de_000	Automatenbetreuer/Automatenbetreuerin
C002470_de_001	Automatenarbeiter
C002470_de_002	Automatenarbeiterin
C002470_de_003	Automatenbediener
C002470_de_004	Automatenbedienerin
C002470_de_005	Automatenbefüller
C002470_de_006	Automatenbefüllerin
C002470_de_007	Automatenbetreuer
C002470_de_008	Automatenbetreuerin
C002470_de_009	Automatenkassier
C002470_de_010	Automatenkassierer
C002470_de_011	Automatenkassiererin
C002470_de_012	Automatenkassierin
C002470_de_013	Getränkeautomatenbefüller
C002470_de_014	Getränkeautomatenbefüllerin
C002471_de_000	Dokumentationsfachkraft
C002471_de_001	Karteibearbeiter
C002471_de_002	Karteibearbeiterin
C002471_de_003	Karteiführer
C002471_de_004	Karteiführerin
C002471_de_005	Kopierkraft
C002471_de_006	Kopist
C002471_de_007	Kopistin
C002471_de_008	Sachbearbeiter in der Dokumentation
C002471_de_009	Sachbearbeiterin in der Dokumentation
C002472_de_000	Diätkoch/Diätköchin
C002472_de_001	Diätkoch
C002472_de_002	Diätköchin
C002472_de_003	Regimierin
C002473_de_000	Beleuchtungstechniker/Beleuchtungstechnikerin
C002473_de_001	Beleuchter
C002473_de_002	Beleuchterin
C002473_de_003	Beleuchtungsanlagentechniker
C002473_de_004	Beleuchtungsanlagentechnikerin
C002473_de_005	Beleuchtungstechniker
C002473_de_006	Beleuchtungstechnikerin
C002474_de_000	Fettaufbereitungsmitarbeiter/Fettaufbereitungsmitarbeiterin
C002474_de_001	Fettaufbereitungsmitarbeiter
C002474_de_002	Fettaufbereitungsmitarbeiterin
C002474_de_003	Fettreinigungsmitarbeiter
C002474_de_004	Fettreinigungsmitarbeiterin
C002475_de_000	Molkereimitarbeiter/Molkereimitarbeiterin
C002475_de_001	Arbeitskraft in der Milchverarbeitung
C002475_de_002	Mitarbeiter in der Milchverarbeitung
C002475_de_003	Mitarbeiterin in der Milchverarbeitung
C002475_de_004	Molkereiarbeiter
C002475_de_005	Molkereiarbeiterin
C002475_de_006	Molkereimitarbeiter
C002475_de_007	Molkereimitarbeiterin
C002476_de_000	Mannequin/Dressman
C002476_de_001	Dressman
C002476_de_002	Fotomodell
C002476_de_003	Mannequin
C002476_de_004	Model
C002477_de_000	Experte Geoinformationssysteme/Expertin Geoinformationssysteme
C002477_de_001	Experte Geoinformationssysteme
C002477_de_002	Expertin Geoinformationssysteme
C002477_de_003	GIS-Spezialist
C002477_de_004	GIS-Spezialistin
C002478_de_000	Touristeninformationsmitarbeiter/Touristeninformationsmitarbeiterin
C002478_de_001	Fremdenverkehrsamtsmitarbeiter
C002478_de_002	Fremdenverkehrsamtsmitarbeiterin
C002478_de_003	Touristikinformationsmitarbeiter
C002478_de_004	Touristikinformationsmitarbeiterin
C002479_de_000	Bühnenbildassistent/Bühnenbildassistentin
C002479_de_001	Bühnenbild-Assistent
C002479_de_002	Bühnenbild-Assistentin
C002479_de_003	Bühnenbildassistent
C002479_de_004	Bühnenbildassistentin
C002480_de_000	Schulaufsichtsbeamter/Schulaufsichtsbeamtin
C002480_de_001	Fachinspektor/in
C002480_de_002	Schulaufsichtsbeamter
C002480_de_003	Schulaufsichtsbeamtin
C002480_de_004	SchulinspektorIn
C002481_de_000	Facharzt/Fachärztin
C002481_de_001	Facharzt
C002481_de_002	Facharzt Allgemeinchirurgie
C002481_de_003	Facharzt Allgemeinmedizin
C002481_de_004	Facharzt Anatomie
C002481_de_005	Facharzt Anästhesiologie
C002481_de_006	Facharzt Arbeitsmedizin
C002481_de_007	Facharzt Augenheilkunde
C002481_de_008	Facharzt Biochemie
C002481_de_009	Facharzt Frauenheilkunde und Geburtshilfe
C002481_de_010	Facharzt Gefäßchirurgie
C002481_de_011	Facharzt Hals-Nasen-Ohrenheilkunde
C002481_de_012	Facharzt Haut- und Geschlechtskrankheiten
C002481_de_013	Facharzt Herzchirurgie
C002481_de_014	Facharzt Humangenetik
C002481_de_015	Facharzt Hygiene und Umweltmedizin
C002481_de_016	Facharzt Innere Medizin
C002481_de_017	Facharzt Kinder- und Jugendmedizin
C002481_de_018	Facharzt Kinder- und Jugendpsychiatrie
C002481_de_019	Facharzt Kinderchirurgie
C002481_de_020	Facharzt Klinische Pharmakologie
C002481_de_021	Facharzt Laboratoriumsmedizin
C002481_de_022	Facharzt Mikrobiologie, Virologie und Infektionsepidemiologie
C002481_de_023	Facharzt Mund-Kiefer-Gesichtschirurgie
C002481_de_024	Facharzt Neurochirurgie
C002481_de_025	Facharzt Neuropathologie
C002481_de_026	Facharzt Nuklearmedizin
C002481_de_027	Facharzt Orthopädie und Unfallchirurgie
C002481_de_028	Facharzt Pathologie
C002481_de_029	Facharzt Pharmakologie und Toxikologie
C002481_de_030	Facharzt Physiologie
C002481_de_031	Facharzt Psychiatrie und Psychotherapie
C002481_de_032	Facharzt Radiologie
C002481_de_033	Facharzt Rechtsmedizin
C002481_de_034	Facharzt Sprach-, Stimm- und kindliche Hörstörungen
C002481_de_035	Facharzt Strahlentherapie
C002481_de_036	Facharzt Thoraxchirurgie
C002481_de_037	Facharzt Transfusionsmedizin
C002481_de_038	Facharzt Urologie
C002481_de_039	Facharzt Öffentliches Gesundheitswesen
C002481_de_040	Fachärztin
C002481_de_041	Fachärztin Allgemeinchirurgie
C002481_de_042	Fachärztin Allgemeinmedizin
C002481_de_043	Fachärztin Anatomie
C002481_de_044	Fachärztin Anästhesiologie
C002481_de_045	Fachärztin Arbeitsmedizin
C002481_de_046	Fachärztin Augenheilkunde
C002481_de_047	Fachärztin Biochemie
C002481_de_048	Fachärztin Frauenheilkunde und Geburtshilfe
C002481_de_049	Fachärztin Gefäßchirurgie
C002481_de_050	Fachärztin Hals-Nasen-Ohrenheilkunde
C002481_de_051	Fachärztin Haut- und Geschlechtskrankheiten
C002481_de_052	Fachärztin Herzchirurgie
C002481_de_053	Fachärztin Humangenetik
C002481_de_054	Fachärztin Hygiene und Umweltmedizin
C002481_de_055	Fachärztin Innere Medizin
C002481_de_056	Fachärztin Kinder- und Jugendmedizin
C002481_de_057	Fachärztin Kinder- und Jugendpsychiatrie
C002481_de_058	Fachärztin Kinderchirurgie
C002481_de_059	Fachärztin Klinische Pharmakologie
C002481_de_060	Fachärztin Laboratoriumsmedizin
C002481_de_061	Fachärztin Mund-Kiefer-Gesichtschirurgie
C002481_de_062	Fachärztin Neurochirurgie
C002481_de_063	Fachärztin Neuropathologie
C002481_de_064	Fachärztin Nuklearmedizin
C002481_de_065	Fachärztin Orthopädie und Unfallchirurgie
C002481_de_066	Fachärztin Pathologie
C002481_de_067	Fachärztin Pharmakologie und Toxikologie
C002481_de_068	Fachärztin Physikalische und rehabilitative Medizin
C002481_de_069	Fachärztin Physiologie
C002481_de_070	Fachärztin Plastische und ästhetische Chirurgie
C002481_de_071	Fachärztin Psychiatrie und Psychotherapie
C002481_de_072	Fachärztin Psychosomatische Medizin und Psychotherapie
C002481_de_073	Fachärztin Radiologie
C002481_de_074	Fachärztin Rechtsmedizin
C002481_de_075	Fachärztin Sprach-, Stimm- und kindliche Hörstörungen
C002481_de_076	Fachärztin Strahlentherapie
C002481_de_077	Fachärztin Thoraxchirurgie
C002481_de_078	Fachärztin Transfusionsmedizin
C002481_de_079	Fachärztin Urologie
C002481_de_080	Fachärztin Öffentliches Gesundheitswesen
C002481_de_081	Sportarzt
C002481_de_082	Sportärztin
C002482_de_000	Verkäufer/Verkäuferin
C002482_de_001	Einzelhandelsverkäufer
C002482_de_002	Einzelhandelsverkäuferin
C002482_de_003	Verkaufsassistent
C002482_de_004	Verkaufsassistentin
C002482_de_005	Verkaufshilfskraft
C002482_de_006	Verkäufer
C002482_de_007	Verkäuferin
C002483_de_000	Leiter eines Textilgeschäftes/Leiterin eines Textilgeschäftes
C002483_de_001	Leiter eines Textilgeschäftes
C002483_de_002	Leiterin eines Textilgeschäftes
C002484_de_000	Hauptmann
C002484_de_001	Hauptfrau
C002484_de_002	Hauptleute
C002484_de_003	Hauptmann des Heeres
C002484_de_004	Hauptmännin
C002485_de_000	Schiffs- und Hafenfeuerwehrmann/Schiffs- und Hafenfeuerwehrfrau
C002485_de_001	Bootsfeuerwehrfrau
C002485_de_002	Bootsfeuerwehrmann
C002485_de_003	Schiffs- und Hafenfeuerwehrfrau
C002485_de_004	Schiffs- und Hafenfeuerwehrmann
C002486_de_000	Sozialbetreuer Behindertenbetreuung/Sozialbetreuerin Behindertenbetreuung
C002486_de_001	Behindertenbetreuer
C002486_de_002	Behindertenbetreuerin
C002486_de_003	Sozialbetreuer Behindertenbetreuung
C002486_de_004	Sozialbetreuerin Behindertenbetreuung
C002487_de_000	Bürstenmacher/Bürstenmacherin
C002487_de_001	Bürsten- und Pinselmacher
C002487_de_002	Bürsten- und Pinselmacherin
C002487_de_003	Bürstenerzeuger
C002487_de_004	Bürstenerzeugerin
C002487_de_005	Bürstenmacher
C002487_de_006	Bürstenmacherin
C002488_de_000	Wachmann/Wachfrau Alarmzentrale
C002488_de_001	Wachfrau Alarmzentrale
C002488_de_002	Wachmann Alarmzentrale
C002489_de_000	Kundenerfahrungsmanager/Kundenerfahrungsmanagerin
C002489_de_001	Client Experience ManagerIn
C002489_de_002	Customer Experience ManagerIn
C002489_de_003	Kundenerfahrungsleiter
C002489_de_004	Kundenerfahrungsleiterin
C002489_de_005	Kundenerfahrungsmanager
C002489_de_006	KundenerfahrungsmanagerIn
C002489_de_007	Kundenerfahrungsmanagerin
C002489_de_008	Kundenerlebnismanager
C002489_de_009	Kundenerlebnismanagerin
C002490_de_000	Ehe- und Familienberater/Ehe- und Familienberaterin
C002490_de_001	Ehe- und Familienberater
C002490_de_002	Ehe- und Familienberaterin
C002490_de_003	Eheberater
C002490_de_004	Eheberaterin
C002490_de_005	Familien- und Paartherapeut
C002490_de_006	Familien- und Paartherapeutin
C002490_de_007	Familienberater
C002490_de_008	Familienberaterin
C002490_de_009	Familientherapeut
C002490_de_010	Familientherapeutin
C002490_de_011	Paartherapeut
C002490_de_012	Paartherapeutin
C002491_de_000	Vermessungstechniker Bergvermessung/Vermessungstechnikerin Bergvermessung
C002491_de_001	Markscheidetechniker
C002491_de_002	Markscheidetechnikerin
C002491_de_003	Vermessungstechniker Bergvermessung
C002491_de_004	Vermessungstechnikerin Bergvermessung
C002492_de_000	Zugführer/Zugführerin
C002492_de_001	Zugchef
C002492_de_002	Zugchefin
C002492_de_003	Zugführer
C002492_de_004	Zugführerin
C002493_de_000	Kundenservice-Manager/Kundenservice-Managerin
C002493_de_001	Customer-Service-Manager
C002493_de_002	Customer-Service-Managerin
C002493_de_003	Kundendienst-Manager
C002493_de_004	Kundendienst-Managerin
C002493_de_005	Kundenservice-Manager
C002493_de_006	Kundenservice-Managerin
C002493_de_007	Kundenservice-Trainer
C002493_de_008	Kundenservice-Trainerin
C002494_de_000	IT-Innovationsmanager/IT-Innovationsmanagerin
C002494_de_001	IT Innovation Manager
C002494_de_002	IT-Innovationsmanager
C002494_de_003	IT-Innovationsmanagerin
C002495_de_000	Zweiter Technischer Schiffsoffizier/Zweite Technische Schiffsoffizierin
C002495_de_001	Schiffsbetriebstechniker
C002495_de_002	Schiffsbetriebstechnikerin
C002495_de_003	Schiffsmaschinist
C002495_de_004	Schiffsmaschinistin
C002495_de_005	Zweite Technische Schiffsoffizierin
C002495_de_006	Zweiter Technischer Schiffsoffizier
C002496_de_000	Führungskraft für das Kanalisationssystem
C002496_de_001	Abwasseringenieur
C002496_de_002	Abwasseringenieurin
C002496_de_003	Kanalisationsingenieur
C002496_de_004	Kanalisationsingenieurin
C002496_de_005	Wasseringenieur
C002496_de_006	Wasseringenieurin
C002497_de_000	Aufsichtskraft Abrissarbeiten
C002497_de_001	Polier Abrissarbeiten
C002497_de_002	Polierin Abrissarbeiten
C002498_de_000	Lehrkraft für Angewandte Kunst
C002498_de_001	Ausbilder im Bereich Handwerk
C002498_de_002	Ausbilderin im Bereich Handwerk
C002498_de_003	Fachlehrkraft für Angewandte Kunst
C002498_de_004	Instruktor für Kunst und Design
C002498_de_005	Instruktorin für Kunst und Design
C002498_de_006	LehrerIn für Kunst und Design
C002498_de_007	Lehrkraft für Bildende Kunst
C002499_de_000	Koordinator Wirtschaftsentwicklung/Koordinatorin Wirtschaftsentwicklung
C002499_de_001	Koordinator Wirtschaftsentwicklung
C002499_de_002	Koordinatorin Wirtschaftsentwicklung
C002500_de_000	Public-Affairs-Berater/Public-Affairs-Beraterin
C002500_de_001	Lobbyist
C002500_de_002	LobbyistIn
C002500_de_003	Lobbyistin
C002500_de_004	PR-Berater/in
C002500_de_005	PR-BeraterIn
C002500_de_006	Public-Affairs-Berater
C002500_de_007	Public-Affairs-BeraterIn
C002500_de_008	Public-Affairs-Beraterin
C002501_de_000	IT-Systemadministrator/IT-Systemadministratorin
C002501_de_001	IT-Systemadministrator
C002501_de_002	IT-Systemadministratorin
C002501_de_003	IT-Systembetreuer
C002501_de_004	IT-Systembetreuerin
C002501_de_005	System-Administrator
C002501_de_006	System-Administratorin
C002502_de_000	Zentralbankgouverneur/Zentralbankgouverneurin
C002502_de_001	Bundesbankpräsident
C002502_de_002	Bundesbankpräsidentin
C002502_de_003	Nationalbankpräsident
C002502_de_004	Nationalbankpräsidentin
C002502_de_005	Zentralbankgouverneur
C002502_de_006	Zentralbankgouverneurin
C002503_de_000	Ingenieur Aerodynamik/Ingenieurin Aerodynamik
C002503_de_001	Ingenieur Aerodynamik
C002503_de_002	Ingenieur Strömungsmechanik
C002503_de_003	Ingenieurin Aerodynamik
C002503_de_004	Ingenieurin Strömungsmechanik
C002504_de_000	IKT-Trainer/IKT-Trainerin
C002504_de_001	IKT-Schulungskraft
C002504_de_002	IKT-Trainer
C002504_de_003	IKT-Trainerin
C002504_de_004	IT-Trainer
C002504_de_005	IT-Trainerin
C002504_de_006	Schulungskraft im Bereich IKT
C002505_de_000	Ladenmanager/Ladenmanagerin
C002505_de_001	Ladenmanager
C002505_de_002	Ladenmanagerin
C002505_de_003	Verkaufsstellenleiter
C002505_de_004	Verkaufsstellenleiterin
C002506_de_000	Game-Programmierer/Game-Programmiererin
C002506_de_001	Game Designer
C002506_de_002	Game Designerin
C002506_de_003	Game-Programmierer
C002506_de_004	Game-Programmiererin
C002506_de_005	Spieleprogrammierer
C002506_de_006	Spieleprogrammierin
C002507_de_000	Büttenpapiermacher/Büttenpapiermacherin
C002507_de_001	Büttenpapiermacher
C002507_de_002	Büttenpapiermacherin
C002507_de_003	Papiermacher
C002507_de_004	Papiermacherin
C002508_de_000	Ressourcenmanager/Ressourcenmanagerin
C002508_de_001	Ressourcenmanager
C002508_de_002	Ressourcenmanagerin
C002509_de_000	Produktleiter/Produktleiterin
C002509_de_001	Produktleiter
C002509_de_002	Produktleiterin
C002509_de_003	Produktmanager
C002509_de_004	Produktmangerin
C002509_de_005	Produktverantwortliche
C002509_de_006	Produktverantwortlicher
C002510_de_000	Blattbinder/Blattbinderin
C002510_de_001	Tabakblattbinder
C002510_de_002	Tabakblattbinderin
C002510_de_003	Tabakblattknüpfer
C002510_de_004	Tabakblattknüpferin
C002511_de_000	Import-/Exportmanager für Getränke/Import-/Exportmanagerin für Getränke
C002511_de_001	Import-/Exportmanager für Getränke
C002511_de_002	Import-/Exportmanager/in für Getränke
C002511_de_003	Import-/Exportmanagerin für Getränke
C002512_de_000	Vertriebsleiter für Müll und Schrott/Vertriebsleiterin für Müll und Schrott
C002512_de_001	Vertriebsleiter für Müll und Schrott
C002512_de_002	Vertriebsleiterin für Müll und Schrott
C002513_de_000	Steinspalter/Steinspalterin
C002513_de_001	Betonsteinformer
C002513_de_002	Betonsteinformerin
C002513_de_003	Pflastersteinspalter
C002513_de_004	Pflastersteinspalterin
C002513_de_005	Plattenbrecher
C002513_de_006	Plattenbrecherin
C002513_de_007	Spalter
C002513_de_008	Spalterin
C002513_de_009	Steinbearbeiter
C002513_de_010	Steinbearbeiterin
C002513_de_011	Steinbrecher
C002513_de_012	Steinbrecherin
C002513_de_013	Steinfertiger
C002513_de_014	Steinfertigerin
C002513_de_015	Steinfertigungsmaschinist
C002513_de_016	Steinfertigungsmaschinistin
C002513_de_017	Steinformer
C002513_de_018	Steinformerin
C002513_de_019	Steinfräser
C002513_de_020	Steinfräserin
C002513_de_021	Steinplattenmacher
C002513_de_022	Steinplattenmacherin
C002513_de_023	Steinspalter
C002513_de_024	Steinspalterin
C002513_de_025	Steinspaltmaschinenbediener
C002513_de_026	Steinspaltmaschinenbedienerin
C002513_de_027	Steinsäger
C002513_de_028	Steinsägerin
C002514_de_000	Energiemanager/Energiemanagerin
C002514_de_001	Energiemanager
C002514_de_002	Energiemanagerin
C002515_de_000	Pizzabäcker/Pizzabäckerin
C002515_de_001	Pizzabäcker
C002515_de_002	Pizzabäckerin
C002515_de_003	Pizzaiola
C002515_de_004	Pizzaiolo
C002515_de_005	Pizzakoch//m
C002515_de_006	Pizzaköchin//f
C002516_de_000	Prüfer im Bereich Finanzbetrug/Prüferin im Bereich Finanzbetrug
C002516_de_001	Fraud-AnalystIn
C002516_de_002	Prüfer im Bereich Finanzbetrug
C002516_de_003	Prüferin im Bereich Finanzbetrug
C002517_de_000	Feuerwehrkommandant/Feuerwehrkommandantin
C002517_de_001	Feuerwehrkommandant
C002517_de_002	Feuerwehrkommandantin
C002517_de_003	Leiter der Feuerwehr
C002517_de_004	Leiterin der Feuerwehr
C002518_de_000	Großhändler für elektrische Haushaltsgeräte/Großhändlerin für elektrische Haushaltsgeräte
C002518_de_001	Großhändler für elektrische Haushaltsgeräte
C002518_de_002	Großhändlerin für elektrische Haushaltsgeräte
C002519_de_000	Umwelt- und Gesundheitsinspektor/Umwelt- und Gesundheitsinspektorin
C002519_de_001	Kontrolleur Umwelt und Gesundheit
C002519_de_002	Kontrolleurin Umwelt und Gesundheit
C002519_de_003	Umwelt- und Gesundheitsinspektor
C002519_de_004	Umwelt- und Gesundheitsinspektorin
C002519_de_005	Umweltauditor
C002519_de_006	Umweltauditorin
C002519_de_007	Umweltberater
C002519_de_008	Umweltberaterin
C002520_de_000	Spezialeffekt-Künstler Pyrotechnik/Spezialeffekt-Künstlerin Pyrotechnik
C002520_de_001	Bühnenfeuerwerker
C002520_de_002	Bühnenfeuerwerkerin
C002520_de_003	Bühnenpyrotechniker
C002520_de_004	Bühnenpyrotechnikerin
C002520_de_005	Eventpyrotechniker
C002520_de_006	Eventpyrotechnikerin
C002520_de_007	Filmfeuerwerker
C002520_de_008	Filmfeuerwerkerin
C002520_de_009	Filmpyrotechniker
C002520_de_010	Filmpyrotechnikerin
C002520_de_011	Pyrotechnik-Künstler
C002520_de_012	Pyrotechnik-Künstlerin
C002520_de_013	Pyrotechniker
C002520_de_014	Pyrotechnikerin
C002521_de_000	Extruderführer/Extruderführerin
C002521_de_001	Extruderführer
C002521_de_002	Extruderführerin
C002521_de_003	Extrudeur
C002521_de_004	Extrudeurin
C002521_de_005	Extrudierer
C002521_de_006	Extrudiererin
C002521_de_007	Extrusionsfachfrau
C002521_de_008	Extrusionsfachmann
C002521_de_009	Extrusionstechniker
C002521_de_010	Extrusionstechnikerin
C002521_de_011	Kaltfließpressenbediener
